insightful|	통찰력있는
evolution|	진화
defend|	막다, 방어하다
secure|	확실히하다, 확보하다
remove|	제거하다
immediately|	즉시, 인접하여
administer|	관리하다, 주다
gratitude|	감사
disabled =handicapped|	불구의, 장애의
personnel|	직원, 직원의
unload|	덜다, 짐내리다
sanitary|	위생의, 위생적인
claim|	주장하다, 제기하다, 빼앗다
treatment|	치료, 대접
fluid|	유동적인, 체액, 수분
professor|	교수
fatal|	중요한, 치명적인
howling|	울부짓는
expiration|	(계약)만료
subordinate|	부하직원
analogy|	비유, 유사점
recruit|	모집하다
mandatory|	의무적인, 강제적인
crime|	범죄
essential|	필수적인, 본질적인
beneath|	~아래
resolute|	단호한, 확고한
retire|	은퇴하다
ecosystem|	생태계
persist|	지속되다, 계속되다
drainage|	배수
prospect|	전망, 답사하다
evaluate|	평가하다
nutrition|	영양분
evict|	추방하다
executive|	중역, 이사
intention|	의도
heredity|	유전
hesitate|	주저하다
encouragement|	격려
allowance|	수당, 용돈
naive|	순진한
lecture|	강의
feature|	특징, 모습, ~을 특집으로 하다, 특색짓다
deliberate|	신중한, 심사숙고한, 고의로
reply|	응답하다, 대답
never before nor since|	전무후무하게
proceed|	나아가다, 전진하다
colleague|	동료
conceal|	숨기다
spit|	침뱉다
project|	계획하다, 투영하다
ridiculous|	어처구니없는
thought(|명사)	생각
indispensable|	버릴수 없는, 필수적인
constitute|	구성하다
infinite|	무한한
rotten|	썩은
quarrel|	논쟁하다, 싸우다
biological|	생물학적인
familiar|	익숙한, 친숙한
solve|	풀다, 해결하다
definite|	명백한
quest|	추구
amount|	양, 합계가 ~이르다
peer|	보다, 응시하다, 또래, 동년배
sequence|	연속, 순서
conviction|	확신, 유죄
architecture|	건축
long|	갈망하다
accommodation|	숙박, 수용
audience|	관중
distribute|	분배하다
counter|	반대하다, 반대, 반대로
banquet|	연회
amend|	개정하다, 수정하다
spouse|	배우자
old-fashioned|	구식의
condition|	~에 필요조건이다, 좌우하다, 조건, 상태
hide|	숨다, 숨기다
depend on =rely on|	~에 의존하다
raise|	기르다, 올리다
inspect|	조사하다
experiment|	실험
pick one's nose|	코를 후비다
tease|	조롱하다
budget|	예산
radical|	급진적인
restrict|	제한하다, 규제하다
display|	전시하다
drip|	뚝뚝 떨어뜨리다, 흘리다
encounter|	(우연히)만나다, 마주치다
intensive|	집중적인
disconnect|	차단하다
combine|	결합시키다
breathe|	호흡하다
circular|	원의
enlarge|	확대시키다
collide|	충돌하다
integrate|	통합시키다.
